 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2012
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
".....  CORONEL XAVIER CHAVES";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  RESENDE COSTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  NAZARENO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31016 Belo Horizonte/Nova Lima/Santa Luzia";1;234;254;327;295;269;247;186;138;244;195;160;157;196;115;188;165;162;137;131;108;75;98;88;112;108;102;88;98;77;85;58;47;27;38;50;44;63;74;59;62;42;44;93;50;76;32;86;71;72;56;70;60;6114
".....  RAPOSOS";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
".....  RIBEIRAO DAS NEVES";-;16;11;7;14;12;7;10;1;12;5;4;9;7;9;11;8;12;3;3;5;4;5;1;7;11;6;3;6;3;4;6;-;-;-;3;1;3;3;3;-;3;3;4;1;2;-;7;5;5;1;2;1;269
".....  SABARA";-;9;3;10;3;4;3;3;4;2;6;2;4;3;1;2;4;4;2;3;2;2;1;3;3;1;1;1;-;1;2;-;2;-;-;1;-;1;-;1;3;1;1;1;-;6;-;-;-;3;2;3;1;115
".....  BELO HORIZONTE";1;193;225;282;246;237;224;164;125;220;162;143;132;175;95;157;143;137;117;109;92;65;83;80;93;88;91;77;81;63;76;50;40;26;37;43;41;57;65;52;58;36;38;83;47;64;27;70;66;63;52;63;56;5310
".....  BELO VALE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;5
".....  NOVA LIMA";-;5;5;6;9;6;2;1;1;5;3;4;-;2;-;2;1;3;1;1;1;3;6;2;3;1;2;-;2;1;-;-;3;1;-;2;1;1;1;1;-;1;1;2;2;1;1;1;-;-;-;1;1;99
".....  CAETE";-;3;4;9;7;4;4;3;-;1;-;-;-;1;1;-;-;2;-;-;-;-;2;1;1;2;-;3;1;-;2;1;1;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;57
".....  RIO ACIMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
".....  JABOTICATUBAS";-;1;1;2;2;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;18
".....  SANTA LUZIA";-;7;4;11;13;6;7;5;7;4;19;4;11;8;9;15;9;4;14;14;7;1;-;1;5;3;2;4;6;9;1;1;-;-;-;-;-;1;4;1;-;1;1;2;-;3;1;6;-;1;1;-;1;234
"31017 Betim";-;44;63;76;63;74;35;48;35;37;34;41;46;52;28;54;50;55;28;43;40;32;36;39;41;32;38;38;43;18;20;14;13;10;14;13;12;20;28;24;12;8;26;10;10;10;4;4;9;8;15;18;6;1571
".....  JUATUBA";-;2;1;1;-;2;-;-;3;1;-;7;1;2;1;5;3;4;3;-;2;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;46
".....  MATEUS LEME";-;-;1;2;-;1;2;-;5;-;2;1;1;2;2;6;-;1;2;1;-;-;-;-;1;2;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;39
".....  FLORESTAL";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CRUCILANDIA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  MARIO CAMPOS";-;-;-;2;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  BETIM";-;40;56;67;58;65;28;46;26;32;29;31;41;46;23;40;45;49;21;39;37;31;35;34;37;29;35;32;38;15;19;12;13;10;12;13;11;18;25;21;6;8;25;7;9;9;4;3;6;7;11;17;6;1377
".....  SAO JOAQUIM DE BICAS";-;1;2;1;1;1;2;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;15
".....  ESMERALDAS";-;1;3;2;1;4;-;1;1;1;1;-;2;1;1;1;-;1;1;2;-;-;1;3;1;-;3;3;2;1;1;1;-;-;-;-;-;1;2;1;5;-;-;2;1;-;-;-;1;-;-;-;-;53
".....  IGARAPE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;1;1;-;-;-;-;1;1;-;-;-;14
".....  BRUMADINHO";-;-;-;1;1;-;2;-;-;2;1;-;-;1;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"31018 Contagem";-;39;47;73;63;42;36;45;46;38;44;42;51;52;47;65;38;52;46;31;35;27;33;36;27;36;32;27;41;20;32;12;15;13;14;9;10;19;17;15;16;11;14;18;11;15;10;15;9;21;16;10;11;1544
".....  CONTAGEM";-;32;43;58;52;36;31;41;39;37;40;38;48;50;47;60;37;49;43;30;31;26;30;35;24;30;30;27;39;18;30;11;15;12;12;9;9;18;17;14;16;10;14;18;11;14;8;11;7;20;13;8;8;1406
".....  IBIRITE";-;-;-;5;4;3;3;-;-;-;3;3;2;1;-;2;1;2;2;1;2;-;2;-;3;3;2;-;1;2;2;1;-;1;2;-;1;1;-;1;-;1;-;-;-;1;1;2;-;-;2;2;3;68
".....  SARZEDO";-;7;4;10;7;3;2;4;7;1;1;1;1;1;-;3;-;1;1;-;2;1;1;1;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;1;-;-;70
"31019 Curvelo";-;4;10;20;25;15;14;4;6;5;24;10;28;27;11;21;22;23;14;31;46;35;40;33;34;46;24;39;26;14;5;16;3;6;6;6;2;4;2;4;1;3;4;2;1;4;3;12;3;9;9;5;18;779
".....  TRES MARIAS";-;-;1;-;-;2;-;-;-;-;2;4;2;-;-;1;5;2;1;1;2;-;-;1;1;-;1;2;-;-;-;-;1;-;1;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;36
".....  SANTO HIPOLITO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BUENOPOLIS";-;-;1;2;3;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  AUGUSTO DE LIMA";-;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;1;2;1;-;1;-;-;1;1;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;2;16;36
".....  CORINTO";-;-;-;4;1;-;5;1;3;3;15;2;15;11;4;16;7;17;8;28;40;32;36;31;31;40;20;35;23;12;4;15;2;4;3;2;1;1;-;3;-;1;-;1;1;3;2;6;3;6;5;1;2;506
".....  FELIXLANDIA";-;1;3;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;1;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  CURVELO";-;2;5;12;15;10;4;3;2;2;5;4;10;9;5;3;7;1;3;1;1;1;1;-;-;3;2;1;1;1;-;1;-;1;-;-;1;2;-;1;-;2;1;1;-;1;-;4;-;3;3;1;-;136
".....  PRESIDENTE JUSCELINO";-;-;-;-;2;-;-;-;-;-;-;-;-;4;2;1;-;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;-;1;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;21
".....  MONJOLOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  INIMUTABA";-;1;-;-;3;2;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
".....  MORRO DA GARCA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31020 Guanhães";-;8;5;9;7;2;7;1;-;3;1;1;-;2;1;-;-;-;2;-;2;1;1;1;3;-;-;-;2;-;-;-;-;1;-;1;-;-;1;-;1;-;1;4;-;2;-;4;4;-;-;-;2;80
".....  VIRGINOPOLIS";-;2;-;2;3;-;1;-;-;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  SENHORA DO PORTO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  GUANHAES";-;6;5;7;4;2;4;1;-;-;1;1;-;2;-;-;-;-;1;-;2;1;1;1;2;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;1;-;1;4;-;2;-;4;4;-;-;-;2;63
".....  SABINOPOLIS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31021 Itabira";-;2;8;8;7;8;-;4;3;7;6;7;7;13;7;11;4;3;10;2;3;4;2;5;1;2;3;2;1;1;-;-;-;-;-;-;-;2;1;2;1;1;1;1;3;-;1;2;-;1;1;2;1;161
".....  SANTA BARBARA";-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;1;1;-;1;-;-;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
".....  FERROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTO ANTONIO DO RIO ABAIXO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITABIRA";-;2;8;8;7;7;-;4;3;7;6;6;7;13;6;10;3;3;9;2;3;3;2;3;1;1;2;2;1;1;-;-;-;-;-;-;-;1;1;2;1;-;1;1;3;-;1;2;-;1;1;1;1;147
".....  BARAO DE COCAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31022 Ouro Preto";-;1;4;4;4;3;1;1;4;4;1;-;3;-;-;1;3;1;2;1;2;2;-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;-;1;-;1;1;-;1;-;1;2;-;59
".....  OURO PRETO";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;7
".....  MARIANA";-;1;3;4;4;-;1;-;2;3;1;-;2;-;-;-;2;1;-;-;2;2;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;36
".....  ITABIRITO";-;-;1;-;-;3;-;1;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;2;-;16
"31023 João Monlevade";-;4;3;11;4;3;4;1;3;2;2;2;3;-;6;3;7;10;3;5;1;1;7;9;1;6;4;2;1;4;4;1;1;2;3;-;2;3;2;1;1;2;1;-;3;-;-;3;1;3;2;3;19;169
".....  RIO PIRACICABA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
".....  BELA VISTA DE MINAS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  JOAO MONLEVADE";-;1;2;8;4;1;3;1;1;1;2;2;3;-;6;2;6;8;3;2;1;1;7;9;1;5;3;2;-;3;4;1;1;2;3;-;1;3;-;1;1;1;1;-;1;-;-;1;-;1;-;-;2;112
".....  SAO DOMINGOS DO PRATA";-;1;1;3;-;2;-;-;1;1;-;-;-;-;-;1;1;1;-;2;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;2;-;-;2;-;-;-;-;1;25
".....  NOVA ERA";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;2;3;16;28
"31024 Sete Lagoas";-;30;27;37;38;23;22;14;16;28;29;38;32;42;36;40;40;51;56;54;48;42;22;21;23;24;32;22;17;10;21;8;12;12;10;8;5;7;17;13;13;13;12;9;9;10;10;13;7;13;11;22;13;1182
".....  PAINEIRAS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  MARAVILHAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
".....  CAETANOPOLIS";-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;2;1;2;-;-;13
".....  JEQUITIBA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PEQUI";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
".....  POMPEU";-;10;1;8;3;1;1;1;-;1;1;3;-;1;1;1;2;1;3;1;-;1;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;2;-;1;1;1;-;2;-;57
".....  FUNILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SETE LAGOAS";-;16;21;21;23;18;15;10;14;26;24;31;32;37;32;33;34;44;52;50;45;38;16;18;19;22;28;20;15;7;19;8;12;12;9;6;5;7;11;10;8;11;8;7;5;4;7;10;4;6;6;17;12;965
".....  MORADA NOVA DE MINAS";-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CORDISBURGO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;8
".....  INHAUMA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
".....  BALDIM";-;-;-;1;-;-;2;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
".....  PARAOPEBA";-;1;-;1;-;2;1;1;1;-;-;1;-;1;1;2;1;2;-;1;-;1;1;-;3;-;1;-;2;2;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;1;-;-;-;1;1;-;-;33
".....  CAPIM BRANCO";-;-;1;3;2;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;13
".....  CACHOEIRA DA PRATA";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;2;1;-;1;3;1;2;1;1;-;-;-;-;-;-;19
".....  ABAETE";-;-;2;1;5;-;1;-;-;-;1;-;-;-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;19
".....  ARACAI";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
".....  PAPAGAIOS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
".....  PRUDENTE DE MORAIS";-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  FORTUNA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;2;-;-;1;8
"31025 Vespasiano/Lagoa Santa";-;32;22;41;46;36;19;23;13;15;8;15;10;7;12;11;9;17;5;7;7;5;14;6;8;10;5;-;3;3;2;3;1;2;2;-;2;4;5;4;2;-;7;3;1;4;4;2;1;4;5;5;-;472
".....  LAGOA SANTA";-;1;3;3;4;6;4;7;2;1;1;3;2;-;3;6;1;11;1;1;4;1;3;1;3;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;77
".....  SAO JOSE DA LAPA";-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;7
".....  CONFINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
".....  SANTANA DO RIACHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PEDRO LEOPOLDO";-;2;2;4;1;1;3;-;-;1;-;2;1;1;1;-;2;-;-;-;1;1;3;-;-;2;2;-;-;-;-;-;-;-;-;-;-;2;2;1;-;-;2;-;-;2;1;1;-;1;1;-;-;43
".....  VESPASIANO";-;28;15;33;39;29;10;16;11;12;6;9;7;6;6;5;6;6;4;6;2;2;8;5;4;8;1;-;2;3;2;3;1;2;2;-;2;1;3;3;2;-;5;3;1;1;2;1;-;3;4;3;-;333
".....  MATOZINHOS";-;1;1;1;2;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"31026 Diamantina/Itamarandiba";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;1;9
".....  GOUVEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SENADOR MODESTINO GONCALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAMARANDIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
".....  DIAMANTINA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;4
"31027 Turmalina/Minas Novas/Capelinha";-;1;3;3;8;6;2;1;1;1;-;3;2;-;-;4;1;2;-;-;-;2;1;-;-;-;-;-;2;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;3;1;2;1;1;57
".....  CHAPADA DO NORTE";-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CAPELINHA";-;1;1;3;8;2;2;1;1;1;-;3;2;-;-;3;1;2;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;3;1;2;1;1;47
".....  LEME DO PRADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MINAS NOVAS";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  TURMALINA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31028 Bom Despacho";1;9;4;6;8;4;2;1;1;5;5;2;5;7;2;4;5;8;3;1;3;4;1;1;1;2;3;6;3;1;3;-;2;2;2;-;-;3;1;1;3;1;1;2;-;4;-;-;-;5;-;2;18;158
".....  BOM DESPACHO";-;3;2;1;1;1;-;-;1;2;-;1;3;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;1;-;-;-;-;-;-;-;24
".....  MOEMA";-;2;-;1;1;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;10
".....  ESTRELA DO INDAIA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  DORES DO INDAIA";1;-;-;-;-;-;-;-;-;-;2;-;-;2;-;3;-;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;15
".....  LUZ";-;1;-;2;4;2;-;1;-;2;3;1;1;3;1;1;2;5;-;-;-;2;-;-;-;-;-;-;-;-;2;-;2;2;2;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;44
".....  MARTINHO CAMPOS";-;3;1;2;2;1;-;-;-;-;-;-;1;1;-;-;2;-;1;1;2;1;-;1;1;2;3;6;3;1;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;2;-;-;-;5;-;2;16;64
"31030 Formiga";1;6;6;2;3;3;5;4;3;6;2;2;6;-;3;2;14;10;5;4;2;2;-;-;2;1;1;2;1;2;1;1;1;-;1;-;-;-;-;1;-;-;2;4;3;2;-;1;-;1;-;1;-;119
".....  BAMBUI";-;2;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
