 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2011
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
".....  NEPOMUCENO";-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;7
".....  ITUMIRIM";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  IJACI";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31006 Poços de Caldas";-;2;2;3;1;-;3;-;-;3;1;2;2;2;3;5;11;7;6;8;7;9;4;4;2;2;3;1;1;2;2;2;3;-;2;1;-;2;5;1;1;-;2;1;1;1;2;-;-;-;-;-;1;123
".....  IBITIURA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ANDRADAS";-;-;-;-;-;-;1;-;-;2;-;1;1;-;1;3;11;6;6;7;6;7;4;4;2;2;3;-;1;2;2;2;2;-;2;1;-;2;3;-;1;-;2;1;1;1;1;-;-;-;-;-;1;92
".....  POCOS DE CALDAS";-;2;1;3;1;-;2;-;-;1;1;1;1;2;2;2;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;26
".....  CALDAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  ALBERTINA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31007 Pouso Alegre";-;5;2;2;5;3;4;-;2;3;2;4;9;9;14;1;6;8;2;5;3;4;-;1;-;2;-;-;1;-;2;1;1;3;-;-;1;-;3;1;2;-;-;1;2;-;-;3;-;2;1;3;1;124
".....  ESTIVA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BUENO BRANDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTA RITA DO SAPUCAI";-;-;-;-;-;-;1;-;-;-;-;-;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
".....  TOLEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  JACUTINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;4
".....  CACHOEIRA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CAMANDUCAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  IPUIUNA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
".....  SAO SEBASTIAO DA BELA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
".....  ESPIRITO SANTO DO DOURADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CORREGO DO BOM JESUS";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CONGONHAL";-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  EXTREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;7
".....  POUSO ALEGRE";-;5;2;1;4;1;3;-;1;-;1;3;3;2;6;1;-;2;-;1;1;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;2;-;46
".....  BORDA DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CAMBUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MONTE SIAO";-;-;-;-;-;1;-;-;1;1;-;1;2;3;5;-;1;2;1;1;-;2;-;-;-;2;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
".....  SENADOR JOSE BENTO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAPEVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  HELIODORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31008 São Lourenço";-;-;3;1;-;2;2;2;-;-;-;1;1;3;6;3;1;5;10;2;3;1;1;-;2;-;2;-;-;2;-;-;-;1;-;-;1;-;1;-;1;-;-;-;-;-;1;2;1;3;3;-;-;67
".....  VIRGINIA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  CRISTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CARMO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  LAMBARI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
".....  CAXAMBU";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAMONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  POUSO ALTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
".....  PASSA QUATRO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;10
".....  BAEPENDI";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  MINDURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITANHANDU";-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;7
".....  SAO LOURENCO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;4;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  CRUZILIA";-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;6
"31009 São Sebastião do Paraíso";-;1;3;-;5;7;7;10;18;16;23;35;62;50;32;29;24;21;21;24;20;15;9;6;3;9;1;-;2;2;1;4;2;2;2;3;1;-;2;-;3;2;3;2;4;1;1;-;3;3;1;3;6;504
".....  SAO TOMAS DE AQUINO";-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  ITAMOGI";-;-;-;-;-;-;-;1;-;1;1;-;1;7;3;6;1;-;1;3;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
".....  JACUI";-;1;-;-;-;-;-;-;-;-;-;2;2;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
".....  PRATAPOLIS";-;-;-;-;-;1;-;-;4;-;-;1;1;3;3;2;-;4;1;3;5;4;2;1;-;2;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;42
".....  MONTE SANTO DE MINAS";-;-;-;-;-;2;-;2;2;6;13;22;46;32;20;14;13;8;8;5;3;2;2;4;2;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;3;-;-;-;-;1;-;-;1;217
".....  SAO SEBASTIAO DO PARAISO";-;-;3;-;5;4;7;7;11;9;9;10;10;8;3;7;10;7;10;13;10;8;5;1;1;5;1;-;1;1;1;2;2;1;-;2;-;-;1;-;1;1;2;1;1;1;1;-;3;2;1;3;5;197
"31010 Três Corações";2;-;1;-;2;3;8;5;2;2;4;11;28;46;21;46;40;43;43;50;39;36;8;9;6;4;3;2;4;-;-;1;-;1;-;1;1;-;-;1;-;1;-;-;-;1;3;4;1;-;-;-;-;483
".....  SAO THOME DAS LETRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SAO BENTO ABADE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CARMO DA CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  TRES CORACOES";2;-;1;-;2;3;8;5;2;2;4;11;27;46;20;43;40;41;40;45;37;36;8;9;6;4;3;1;4;-;-;1;-;1;-;1;1;-;-;1;-;1;-;-;-;1;3;4;1;-;-;-;-;465
".....  CAMBUQUIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31011 Três Pontas";-;2;2;2;4;3;3;3;1;4;-;6;11;10;12;8;16;26;24;28;15;20;13;12;7;1;2;2;3;2;-;-;-;-;1;1;1;-;-;-;1;-;1;-;2;2;-;1;-;2;3;4;1;262
".....  BOA ESPERANCA";-;-;-;1;-;-;1;-;-;-;-;5;6;5;4;5;12;22;20;26;14;20;12;12;5;1;1;2;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;2;-;-;-;184
".....  TRES PONTAS";-;-;2;-;4;1;2;1;1;3;-;-;4;5;7;2;2;4;3;1;1;-;1;-;2;-;1;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;1;-;1;-;-;3;3;1;60
".....  ILICINEA";-;2;-;-;-;2;-;2;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
".....  SANTANA DA VARGEM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  COQUEIRAL";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31012 Varginha";-;5;5;10;13;2;7;6;6;5;8;9;28;16;14;27;33;34;23;32;41;44;10;14;5;3;4;6;-;7;3;-;-;3;2;-;1;-;1;4;2;3;1;1;-;-;-;4;4;2;5;3;1;457
".....  CORDISLANDIA";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SAO GONCALO DO SAPUCAI";-;-;2;3;3;-;1;2;1;3;4;3;13;6;4;18;18;17;13;19;26;35;10;10;2;2;-;4;-;3;2;-;-;2;-;-;-;-;1;2;1;2;-;-;-;-;-;1;1;-;2;1;-;237
".....  VARGINHA";-;5;3;7;9;2;4;3;5;2;4;3;13;8;4;5;7;9;8;-;5;6;-;4;2;1;4;2;-;3;1;-;-;1;2;-;1;-;-;2;1;1;-;1;-;-;-;2;2;2;2;2;1;149
".....  ELOI MENDES";-;-;-;-;1;-;-;1;-;-;-;2;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  CAMPANHA";-;-;-;-;-;-;1;-;-;-;-;-;-;1;5;4;6;8;2;13;10;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;58
"31013 Barbacena";-;2;1;-;3;2;4;-;1;1;-;2;2;5;2;1;1;3;2;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;43
".....  ANTONIO CARLOS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ALTO RIO DOCE";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  PAIVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
".....  IBERTIOGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
