 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2008
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
".....  JACUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PRATAPOLIS";-;-;-;-;-;-;-;-;-;1;3;4;-;5;5;9;4;2;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
".....  MONTE SANTO DE MINAS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  SAO SEBASTIAO DO PARAISO";-;1;2;-;-;-;-;-;1;1;2;1;-;5;5;4;5;2;3;2;1;1;4;1;2;-;1;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;51
"31010 Três Corações";-;-;-;-;-;-;-;-;-;2;-;-;-;3;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;13
".....  TRES CORACOES";-;-;-;-;-;-;-;-;-;2;-;-;-;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;10
".....  CAMBUQUIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31011 Três Pontas";-;-;-;-;3;-;-;1;-;1;-;4;1;3;5;3;4;-;4;1;-;2;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;1;1;-;-;1;42
".....  BOA ESPERANCA";-;-;-;-;-;-;-;1;-;-;-;3;-;2;1;2;2;-;2;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;19
".....  TRES PONTAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;10
".....  ILICINEA";-;-;-;-;1;-;-;-;-;1;-;1;1;1;1;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  SANTANA DA VARGEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  COQUEIRAL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31012 Varginha";-;-;3;1;1;4;1;1;4;1;2;4;1;2;1;2;1;1;2;1;1;-;1;-;1;2;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;45
".....  MONSENHOR PAULO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO GONCALO DO SAPUCAI";-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
".....  VARGINHA";-;-;3;1;-;4;-;1;4;1;1;3;-;1;1;2;1;-;2;1;1;-;1;-;1;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;36
".....  ELOI MENDES";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31013 Barbacena";-;-;-;-;1;-;-;-;-;1;1;-;1;5;6;1;5;5;1;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
".....  ANTONIO CARLOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BARBACENA";-;-;-;-;1;-;-;-;-;1;1;-;1;3;5;1;5;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
".....  CARANDAI";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  ALFREDO VASCONCELOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31015 São João Del Rei";-;-;1;2;2;1;1;1;3;2;1;1;2;7;6;13;13;4;1;9;4;-;5;5;1;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;92
".....  SAO JOAO DEL REI";-;-;1;2;1;1;-;1;3;2;1;1;2;6;6;6;11;3;1;7;4;-;5;4;1;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;75
".....  SAO TIAGO";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;5;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  LAGOA DOURADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTA CRUZ DE MINAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BOM SUCESSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31016 Belo Horizonte/Nova Lima/Santa Luzia";1;49;95;142;116;81;69;170;173;233;351;382;405;1129;1820;2237;2525;2364;1999;2114;1551;1106;1078;773;638;430;322;192;144;75;55;42;46;33;32;14;26;24;22;21;28;28;42;26;42;43;44;67;66;82;80;66;85;57;23835
".....  RAPOSOS";-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;2;2;5;1;-;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;23
".....  RIBEIRAO DAS NEVES";-;3;5;3;5;7;5;10;9;17;16;23;20;69;84;127;110;84;64;57;25;25;38;20;13;14;10;4;5;5;1;1;2;-;-;1;-;-;-;-;-;-;1;1;-;1;2;6;4;-;1;-;-;1;899
".....  MOEDA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
".....  SABARA";-;1;1;1;1;2;1;4;5;5;10;8;11;14;25;37;60;57;36;47;34;17;18;25;20;5;5;2;-;-;3;-;-;1;1;-;-;-;2;-;-;1;-;-;1;-;-;2;-;2;1;1;3;1;471
